Equation,Result,Gradient
5.0 - 2.5,2.5,0.9162907318741550651835272159659545980424748655726658508368672497159314318008082032852086791479876708860176966421320389135151594302441920653616048200809968675909955236699961271369727250758522598981507949605607255589012206120211848685432314846925009761699491599542253932161574093685286287918024026482272171146330320780485508093777289887167820334018765729307900366971449389315629319124212539786118234437290501640642234991070887087844187362263278773173267352960291343294564455225763299868308571653391404680771949466682965182186619339448552860437401547177583918261615886960640434450535242662543400971817778028843210471982242773667430269709423356446520369956184941730054933480252363163351156774169374606560200458157622018890379729602147325449389533361852079214361412170274291404487248480224011281725085194697859675071897440616198428813531586545069352993629737942044920921490213428314979373353189313007150701621116123543724169235138822190295223136927451790053267239020107940214705
2.5 - 1.25,3.75,1.3217558399823194471615403359675527106589259036856932227841537932175098305611279267259329186215205757966924637626492291691524959653901347072878906295600623343184181163317704645185341692545160665267761198689660705860609372166343286414124935319104495995413975251996553919709259086830806682014864907281348888748733646320657450547862899351391899918352295998472468966722290328552254009265884465146205035714693548310657640612315132159195788916274215175806530070079790723581413268406681151352067123670103285731149517951165547360007768726419727079641621499539435913857665877993903251025692845448682848841336023690589160522670678116448751547650394743356356353949730431967647789923916704090357917546055838206383766847299466489162291198507681202532474674810880747564626161249621825200184072021219327220215563136564573197888060037315008250073410286785198899815308289097464723902211151780810946155731100214339085124122074781306247386884602884791596900262151219476181857593893759156371880
3.75 - 0.625,3.125,1.1394342831883648209498223085693980033496160976475177724310006165454344528442384502997494214369193260752363261191920796698917525744868743813732532495837271395198969402417055422917294868292037633714258321765463799201383450285157318677453722100021752647192396762032694446915663234676737911363907810192799823469502719678744280414401316122307018191876944868922469383100138299682542654680787744273767473992542915663174231031831789290209205043720559685301396124167895445634358532396630006065160436712149002680087129851379154630317320830008257791930607569350078480018296372008647474078883411740073065373125586387127758030625179524857414109040506544467560178154423486835557680548068512992585189390190152972791532788188149904143537574584793664495870153263446196907531948111982041122216851632003404899380944793890397495601003733906174026268095020674452487179058158233036918580694133152039843552803425755412549849768824003944168027062256185867275668565390155529338114678696231932194017
3.125 - 0.3125,2.8125,1.0340737675305385197223213265850755599925930351589972582496085707471457742568244778839439417943875397584775179659451131738312752772954616528678333103923717527270103871840853242908583302356423230670379713217285012219251265054026803357212026192937514749933852235821876415688113627465604968288086171075800299937383683064145134113796801651670586841489177370161544388885532043241966661441362763139335872548037445916727938947139495985830116115512269841072469731184815263195589940474146431468806574804803239627259348543250917590822493747994564531381013179084479765496960518196581159903381191238209076302221353579637918047977678297984980240742333219375209202893153151914157466555154939453883282194657496017624813521590445152886079352744892225318762135060337088112619393740193950734018540400716763523979090350991019780863970752903457786739785189311323633979625004009489347927047553418936954252057592595050157165569277259529659671859239438067004048556641016236968984907454709965214391
2.8125 - 0.15625,2.65625,0.9769153536905899077641333485802493761183555776539160207305715611530287097214778976491787130763750796696650061173886557079168387796603242971722952946519449058357632115000530984129930880472081046024279337648253792133108890380396979416011600437647239699896586014939658515850867748563333272168791122136447554183951516552874772354731094008131728876293918409797105739035983769363922255586436109263768995949464593067289632453202092806093675524463382635527093382826061270412153924967543537950618445232702330798144301946079425631841817402585850395143571660614488686886780582813123806958384203125642064238140495454010844073345109745872236399032448190510142511030896610089210782459785435234207191905049602591774585899208023330381220264702789334767605073310594507172561610543849179942843871699063939501882533656905600488508233104199641497918886534509552673787011508388147449754920655391250289035687828355191880426730751930976273410126184592086337671414288836822758538351008955504076014
2.65625 - 0.078125,2.734375,1.0059028905638421978034786862056987264587520962916638188299329775721230271953258293506950803965169583716033347838058968158870072321284746020487012870140662344976403928332898929111514652401418926852537299495210279117909110807593487862657952272503994233216088738325569191596615653268279770694363958128936836496556914948604763853828913682251787481990869357053087499690475820135648694365646646156157308514665476462406543072040624023156126183735734093090556269841409804668786485901801305126006861902823190983042649082757909857489077378543393032134804004345293356897429095253057290275167617119595255266813227719732387366095095930862842746617533747774247613182442837810736211114884154627493436130670117337355188851274953701238738908223152398221070885636660866836210758481673597672108279448566658297357106606859737444219694086504183308395032874448479474780568047442689683861552387235134015709093351787279092434234501297606095331989538120454892657269851489099584277335156041149070319
2.734375 - 0.0390625,2.6953125,0.9915141531117425908821325566671750651914519349975799849703324472436252519989408595413942199476410697301819517690254672770695591021196201915273821828932081828961344314078328466798401066903249791243037329089694312567854636500168713578570120954460658481155669679626579184224570941792339935895603456118981741869165233984289156698679749847276187128210580393261422782423084499419198322706120675163332661313674749585702456347259663853501153484021007840850672879981522306306635256078451055449403027303568717929037277983356118554973120546005494208913762732157363775132378266677424590295815244447304825461471138012344010104083311568504896045144517805205909497592119776078119406069265538780779494045520906717155645222751251975337286361437555992503044078651067277955583401805936551744479396800881363675710095437481900392735828008088617405343181652828750044331919765310147514347857722019970117266459766215927541607574779091887592469918601199238188015863132087076782148327560418886810767
2.6953125 - 0.01953125,2.71484375,0.9987344010852296564516872854236708969195588436150669075779758171680418356180670584725929165188156806047840570612545337990400914193330389775607360722249140973572231325732447036897676536132273953458274802216011320724594763551281896983011225765261449102339346116767366214065834966159813716521003044359929927965654947061876478667142256607901938286231351304273208938800314432159562522058222628592265027118403685277981030182972905666262181992135594825646365142969643154338991801573439356880932962604463031610096858151838983533450637833880793321958328544757718932105404710152767206191605102393440476062687042022629151788313198022383835554383425147769109614447813875422702948742463875452112372894555180125077021864505351830121003170254974850803976667942718046216327451625840588022139564805613539277245807451459599046499634239217847797238875827719283151103205614806952724105932708785111539413527947473644137322261830974203428092150454999777976596157005780744586921985612680242303629
2.71484375 - 0.009765625,2.724609375,1.0023250692159582185653250435132848684848973596315660897846093708799807151976981115839790365430409949345988634984674518395298163968447785299425553883603852159552324290908195719166955143951021239083729050435010143395653442260882239460340192466507772531272981513959517831811060631198500284444262623059625558990804562015220449121964575798249024046512773635642971861202148033635112027947470255630425161658788561191154022566649696995435189888274096053463600309836966629467582217657924871644504655392877366849947713998892888270683880960512837959725879848918523899800456771659080425134447194350807283342737534766006327594588018388639381132361410464911751952585284824020162411608014990395471797389557737477162964457809125112925995739167667712198533527721704744647141665819148974161114003585812573386934754949683027961314819292365080249512179469325732773018880071772447683596550704103768019332272208506978190743282834241552931334427317334699404921813392019361614203503423618258625088
2.724609375 - 0.0048828125,2.7197265625,1.0005313467619313023398650604945186022875668382668319355111792521925335779746555691171851851673009103393702485330334201767318041364974567791375118084627533675248102641495872605060678674997612470013678983851176724296023889187401491435647005696322826674249968794505480754805330935104093757450271982281349683520899732888913987028558294198269116609193377268810371712865953961826075210558552691150334261478327395302226893773070152059780485139248576303807987108809786460079750891129635180826906771568108578211495476703253327908996190684690014644669890097745063042160336908161112366671621261018391225017848568857197413625053295840694384571063507961951144495241196963541359777848445179235800568884477014934926489114879410514097256791709251104175181314064887563669002793231313757923313535493728521668034048139893438234812196117668189675613193595435426612044401380778378171458659947600000853972050084794610104605948150373896678597703056693309166116566465947174390639653678956931278875
